"","CommodityCode","LineCode","PCECategory","CommodityDescription","ProducersValue","Transportation Costs","Wholesale","Retail","PurchasersValue","Year","ProducersValuebyCommodityCode","Mapping_ratio"
"253","721","105","Personal care and clothing services","Accommodation",3020,"0","0","0","3020","2017",163294,0.0184942496356265
"254","722","83","Purchased meals and beverages","Food services and drinking places",731851,"0","0","0","731851","2017",731851,1
"255","81","41","Recreational items","Other services, except government",1045,"0","0","0","1045","2017",613310,0.00170386916893577
"256","81","70","Motor vehicle maintenance and repair","Other services, except government",164881,"0","0","0","164881","2017",613310,0.268837944921818
"257","81","71","Other motor vehicle services","Other services, except government",12278,"0","0","0","12278","2017",613310,0.0200192398623861
"258","81","78","Audio-video, photographic, and information processing equipment services","Other services, except government",9294,"0","0","0","9294","2017",613310,0.0151538373742479
"259","81","80","Other recreational services","Other services, except government",14372,"0","0","0","14372","2017",613310,0.0234335001875071
"260","81","104","Professional and other services","Other services, except government",45782,"0","0","0","45782","2017",613310,0.0746474050643231
"261","81","105","Personal care and clothing services","Other services, except government",148253,"0","0","0","148253","2017",613310,0.241726043925584
"262","81","106","Social services and religious activities","Other services, except government",25675,"0","0","0","25675","2017",613310,0.0418630056578239
"263","81","107","Household maintenance","Other services, except government",24790,"0","0","0","24790","2017",613310,0.0404200159788688
"264","81","111","Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Other services, except government",166940,"0","0","0","166940","2017",613310,0.272195137858505
"265","GFE","89","Financial service charges, fees, and commissions","Federal government enterprises",146,"0","0","0","146","2017",6914,0.0211165750650853
"266","GFE","98","Postal and delivery services","Federal government enterprises",6768,"0","0","0","6768","2017",6914,0.978883424934915
"267","GSLE","56","Water supply and sanitation","State and local government enterprises",33166,"0","0","0","33166","2017",72509,0.457405287619468
"268","GSLE","71","Other motor vehicle services","State and local government enterprises",12730,"0","0","0","12730","2017",72509,0.175564412693597
"269","GSLE","79","Gambling","State and local government enterprises",26613,"0","0","0","26613","2017",72509,0.367030299686935
"270","HS","51","Rental of tenant-occupied nonfarm housing","Housing",467076,"0","0","0","467076","2017",2020853,0.231128142423026
"271","HS","52","Imputed rental of owner-occupied nonfarm housing","Housing",1533227,"0","0","0","1533227","2017",2020853,0.758702884376053
"272","HS","53","Rental value of farm dwellings","Housing",20550,"0","0","0","20550","2017",2020853,0.0101689732009206
"273","ORE","107","Household maintenance","Other real estate",5861,"0","0","0","5861","2017",5861,1
"274","Other","46","Net expenditures abroad by U.S. residents","Noncomparable imports and rest-of-the-world adjustment",7007,"0","0","0","7007","2017",-90776,-0.0771900061690315
"275","Other","109","Foreign travel by U.S. residents","Noncomparable imports and rest-of-the-world adjustment",101652,"0","0","0","101652","2017",-90776,-1.1198114038953
"276","Other","110","Less: Expenditures in the United States by nonresidents","Noncomparable imports and rest-of-the-world adjustment",-199435,"0","0","0","-199435","2017",-90776,2.19700141006433
"277","Used","6","Net purchases of used motor vehicles","Scrap, used and secondhand goods",83867,"1525","3062","77605","166059","2017",81328,1.03121926027936
"278","Used","7","Motor vehicles parts and accessories","Scrap, used and secondhand goods",-2376,"16","1117","2327","1083","2017",81328,-0.0292150304938029
"279","Used","9","Furniture and furnishings","Scrap, used and secondhand goods",8916,"3528","3032","1946","17422","2017",81328,0.109630139681291
"280","Used","10","Household appliances","Scrap, used and secondhand goods",-81,"34","29","35","18","2017",81328,-0.000995966948652371
"281","Used","11","Glassware, tableware and household utensils","Scrap, used and secondhand goods",-559,"55","48","16","-440","2017",81328,-0.00687340153452685
"282","Used","12","Tools and equipment for house and garden","Scrap, used and secondhand goods",62,"25","40","108","235","2017",81328,0.000762345071807987
"283","Used","14","Video, audio, photographic, and information processing equipment and media","Scrap, used and secondhand goods",-3,"26","25","33","80","2017",81328,-3.68876647649026e-05
"284","Used","15","Sporting equipment, supplies, guns, and ammunition","Scrap, used and secondhand goods",-125,"0","0","0","-125","2017",81328,-0.00153698603187094
"285","Used","16","Sports and recreational vehicles","Scrap, used and secondhand goods",84,"1518","599","1775","3976","2017",81328,0.00103285461341727
"286","Used","18","Musical instruments","Scrap, used and secondhand goods",-8,"16","14","30","53","2017",81328,-9.83671060397403e-05
"287","Used","20","Jewelry and watches","Scrap, used and secondhand goods",5517,"2274","2011","1524","11326","2017",81328,0.0678364155026559
"288","Used","21","Therapeutic appliances and equipment","Scrap, used and secondhand goods",0,"0","0","1","1","2017",81328,0
"289","Used","22","Educational books","Scrap, used and secondhand goods",2,"119","32","113","266","2017",81328,2.45917765099351e-05
"290","Used","27","Food and nonalcoholic beverages purchased for off-premises consumption","Scrap, used and secondhand goods",-1199,"0","0","0","-1199","2017",81328,-0.0147427700177061
"291","Used","32","Womens and girls clothing","Scrap, used and secondhand goods",133,"382","391","1635","2542","2017",81328,0.00163535313791068
"292","Used","33","Mens and boys clothing","Scrap, used and secondhand goods",-331,"52","64","158","-57","2017",81328,-0.00406993901239426
"293","Used","34","Childrens and infants clothing","Scrap, used and secondhand goods",-16,"44","45","187","259","2017",81328,-0.000196734212079481
"294","Used","35","Other clothing materials and footwear","Scrap, used and secondhand goods",-29,"8","11","24","14","2017",81328,-0.000356580759394059
"295","Used","41","Recreational items","Scrap, used and secondhand goods",-12539,"8163","8241","4357","8222","2017",81328,-0.154178142829038
"296","Used","42","Household supplies","Scrap, used and secondhand goods",0,"1","0","4","6","2017",81328,0
"297","Used","45","Magazines, newspapers, and stationery","Scrap, used and secondhand goods",0,"7","2","7","17","2017",81328,0
"298","Used","98","Postal and delivery services","Scrap, used and secondhand goods",13,"5","8","3","28","2017",81328,0.000159846547314578
